date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:31	955974/955974	---M--	200	added ('OK')	image/png	etag:%2292e4579480ed07ba81da2b9cac6bc60b%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/cta.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/cta.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:31	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/code.jquery.com/jquery-3.6.0.min.js	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:31	80420/80420	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213a24-kNFQNu9I/LM2oTW66BK0VmnxkEQ%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.bundle.min.js	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.bundle.min.js	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:31	3162106/3162106	---M--	200	added ('OK')	image/png	etag:%223fb9a6645f0fa5a2afba1545ec6ceead%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/bg_olympus_2.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/bg_olympus_2.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/style.css)
14:10:32	2371/2371	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2006:10:31%20GMT	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/try-again-pop.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/try-again-pop.html	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/style.css)
14:10:32	2371/2371	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2006:10:31%20GMT	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/win-pop.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/win-pop.html	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/style.css)
14:10:34	841221/841221	---M--	200	added ('OK')	image/jpeg	etag:%22d2ebc840a932733843943a9655e9d979%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/bg_olympus_mobile.jpg	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/bg_olympus_mobile.jpg	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/style.css)
14:10:34	195498/195498	---M-Z	200	added ('OK')	text/css	etag:W/%222fbaa-t81XpP1qH65hJhUPQn7yFzlyk+Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.1/dist/css/bootstrap.min.css	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/cdn.jsdelivr.net/npm/bootstrap@5.2.1/dist/css/bootstrap.min.css	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/try-again-pop.png)
14:10:34	2371/2371	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2006:10:33%20GMT	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/css/style.css	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/css/style.html	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/try-again-pop.png)
14:10:34	80457/80457	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213a49-d7zwyIL6S+j76tNQUsOalE+QNeM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.1/dist/js/bootstrap.bundle.min.js	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/cdn.jsdelivr.net/npm/bootstrap@5.2.1/dist/js/bootstrap.bundle.min.js	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/try-again-pop.png)
